,Airline,Code
0,1Time Airline,1T
1,40-Mile Air,Q5
2,Ansett Australia,AN
3,Abacus International,1B
4,Abelag Aviation,W9
5,Aigle Azur,ZI
6,Aloha Airlines,AQ
7,American Airlines,AA
8,Asiana Airlines,OZ
9,Askari Aviation,4K
10,Afriqiyah Airways,8U
11,Afrinat International Airlines,Q9
12,Allegiant Air,G4
13,Aban Air,K5
14,ABSA - Aerolinhas Brasileiras,M3
15,Antrak Air,4
16,Airborne Express,GB
17,ABX Air,GB
18,Astral Aviation,8V
19,Aero Asia International,E4
20,Air Togo,YT
21,Advance Leasing Company,4G
22,Aztec Worldwide Airlines,7A
23,Air Tindi,8T
24,Ada Air,ZY
25,ADC Airlines,Z7
26,Adria Airways,JP
27,Air Europa,UX
28,Aero Benin,EM
29,Aegean Airlines,A3
30,Air Atlantique,KI
31,Air Europe,PE
32,Alaska Central Express,KO
33,Astraeus,5W
34,Aerosvit Airlines,VV
35,Air Italy,I9
36,American Falcon,WK
37,Alliance Airlines,QQ
38,Ariana Afghan Airlines,FG
39,Aeroflot Russian Airlines,SU
40,Air Bosna,JA
41,Air France,AF
42,Air Caledonie International,SB
43,Air Gabon,GN
44,Air Salone,20
45,Air Cargo Carriers,2Q
46,Air Senegal International,V7
47,Air Namibia,SW
48,Air Service Gabon,G8
49,Aerolitoral,5D
50,Amadeus Global Travel Distribution,1A
51,Air Glaciers,7T
52,Aeroper,PL
53,Atlas Blue,8A
54,Air Alpha Greenland,GD
55,Air Hong Kong,LD
56,Aeromist-Kharkiv,HT
57,Azerbaijan Airlines,J2
58,Avies,U3
59,Airbus Industrie,AP
60,Alpine Air Express,5A
61,Airblue,ED
62,Air Berlin,AB
63,Air Contractors,AG
64,Air India Limited,AI
65,Air Bourbon,ZB
66,Air Atlanta Icelandic,CC
67,Air Srpska,RB
68,Air Tahiti Nui,TN
69,Aero Services Executive,W4
70,Arkia Israel Airlines,IZ
71,Air Jamaica,JM
72,Air One,AP
73,Air Sahara,S2
74,Air Malta,KM
75,Amerijet International,M6
76,Air Japan,NQ
77,Air Kiribati,4A
78,Air Nippon Network Co. Ltd.,EH
79,America West Airlines,HP
80,Air Wisconsin,ZW
81,Tatarstan Airlines,U9
82,Air Libert,VD
83,Air Lithuania,TT
84,Air Malawi,QM
85,Air Sicilia,BM
86,Air Macau,NX
87,Air Midwest,ZV
88,Air Seychelles,HM
89,AeroMéxico,AM
90,All Nippon Airways,NH
91,Air Nostrum,YW
92,Air Niugini,PX
93,Air Arabia,G9
94,Air Canada,AC
95,Air Baltic,BT
96,Air Nippon,EL
97,Airnorth,TL
98,Air North Charter - Canada,4N
99,AOM French Airlines,IW
100,Air New Zealand,NZ
101,AVCOM,J6
102,Aero VIP,2D
103,Air Vegas,6V
104,Alitalia Express,XM
105,Asia Overnight Express,OE
106,Aero Flight,GV
107,Arrow Air,JW
108,Arik Air,W3
109,Aerocondor,2B
110,Aires,4C
111,Aerolineas Argentinas,AR
112,Air Armenia,QN
113,Alaska Airlines,AS
114,Air Sinai,4D
115,Airstars,PL
116,Atlantic Southeast Airlines,EV
117,Astrakhan Airlines,OB
118,Air Tanzania,TC
119,Air Burkina,2J
120,Aero-Tropics Air Services,HC
121,Airlines Of Tasmania,FO
122,Air Saint Pierre,PJ
123,Air Transport International,8C
124,Austrian Airlines,OS
125,Augsburg Airways,IQ
126,AirBridge Cargo,RU
127,Abu Dhabi Amiri Flight,MO
128,Aeroflot-Nord,5N
129,Aurigny Air Services,GR
130,Aus-Air,NO
131,Austral Lineas Aereas,AU
132,Australian Airlines,AO
133,Avianca - Aerovias Nacionales de Colombia,AV
134,Air Vanuatu,NF
135,Airlink Zambia,K8
136,Air Bangladesh,B9
137,Air Mediterranee,DR
138,Aeroline GmbH,7E
139,Air Wales,6G
140,Air Caraïbes,TX
141,Air India Express,IX
142,Asian Express Airlines,HJ
143,Air Exel,XT
144,AirAsia,AK
145,Axis Airways,6V
146,Atlant-Soyuz Airlines,3G
147,Alitalia,AZ
148,Arcus-Air Logistic,ZE
149,Amaszonas,Z8
150,Air Zimbabwe,UM
151,Aserca Airlines,R7
152,Rossiya-Russian Airlines,FV
153,Aviaexpress,RX
154,American Eagle Airlines,MQ
155,Airshop,FF
156,African Transport Trading and Investment Company,ML
157,Air Ivoire,VU
158,Air Botswana,BP
159,Air Foyle,GS
160,Air Tahiti,VT
161,Air Urga,3N
162,Air VIA,VL
163,Africa West,FK
164,Avirex,G2
165,ATRAN Cargo Airlines,V8
166,Avensa,VE
167,Avolar Aerolineas,V5
168,Air China,CA
169,Aero Condor Peru,Q6
170,Arctic Circle Air Service,5F
171,Air Corridor,QC
172,Air Central,NV
173,Air Chathams,CV
174,Air Marshall Islands,CW
175,Access Air,ZA
