Name,Code
Barter Island LRRS Airport,BTI
Cape Lisburne LRRS Airport,LUR
Point Lay LRRS Airport,PIZ
Hilo International Airport,ITO
Orlando Executive Airport,ORL
Bettles Airport,BTT
Clear Airport,Z84
Indian Mountain LRRS Airport,UTO
Fort Yukon Airport,FYU
Sparrevohn LRRS Airport,SVW
Bryant Army Heliport,FRN
Tatalina LRRS Airport,TLJ
Cape Romanzof LRRS Airport,CZF
Laurence G Hanscom Field,BED
St Paul Island Airport,SNP
Cape Newenham LRRS Airport,EHM
St George Airport,STG
Iliamna Airport,ILI
Platinum Airport,PTU
Big Mountain Airport,BMX
Oscoda Wurtsmith Airport,OSC
Marina Municipal Airport,OAR
Sacramento Mather Airport,MHR
Bicycle Lake Army Air Field,BYS
Twentynine Palms (Self) Airport,NXP
Fort Smith Regional Airport,FSM
Merrill Field,MRI
Grants-Milan Municipal Airport,GNT
Ponca City Regional Airport,PNC
Hunter Army Air Field,SVN
Grand Forks International Airport,GFK
Grider Field,PBF
Whiting Field Naval Air Station - North,NSE
Hana Airport,HNM
Ernest A. Love Field,PRC
Trenton Mercer Airport,TTN
General Edward Lawrence Logan International Airport,BOS
Travis Air Force Base,SUU
Griffiss International Airport,RME
Wendover Airport,ENV
Mobile Downtown Airport,BFM
Metropolitan Oakland International Airport,OAK
Eppley Airfield,OMA
Port Angeles Cgas Airport,NOW
Kahului Airport,OGG
Wichita Mid Continent Airport,ICT
Kansas City International Airport,MCI
Dane County Regional Truax Field,MSN
Dillingham Airport,DLG
Boone County Airport,HRO
Phoenix Sky Harbor International Airport,PHX
Bangor International Airport,BGR
Fort Lauderdale Executive Airport,FXE
East Texas Regional Airport,GGG
Anderson Regional Airport,AND
Spokane International Airport,GEG
North Perry Airport,HWO
San Francisco International Airport,SFO
Cut Bank International Airport,CTB
Acadiana Regional Airport,ARA
Gainesville Regional Airport,GNV
Memphis International Airport,MEM
Bisbee Douglas International Airport,DUG
Allen Army Airfield,BIG
TSTC Waco Airport,CNW
Annette Island Airport,ANN
Caribou Municipal Airport,CAR
Little Rock Air Force Base,LRF
Redstone Army Air Field,HUA
Pope Field,POB
Dalhart Municipal Airport,DHT
Laughlin Air Force Base,DLF
Los Angeles International Airport,LAX
Anniston Metropolitan Airport,ANB
Cleveland Hopkins International Airport,CLE
Dover Air Force Base,DOV
Cincinnati Northern Kentucky International Airport,CVG
Tipton Airport,FME
China Lake Naws (Armitage Field) Airport,NID
Huron Regional Airport,HON
Juneau International Airport,JNU
Lafayette Regional Airport,LFT
Newark Liberty International Airport,EWR
Boise Air Terminal/Gowen field,BOI
Creech Air Force Base,INS
Garden City Regional Airport,GCK
Minot International Airport,MOT
Wheeler Army Airfield,HHI
Maxwell Air Force Base,MXF
Robinson Army Air Field,\N
Dallas Love Field,DAL
Butts AAF (Fort Carson) Air Field,FCS
Helena Regional Airport,HLN
Miramar Marine Corps Air Station - Mitscher Field,NKX
Luke Air Force Base,LUF
Hurlburt Field,\N
Jack Northrop Field Hawthorne Municipal Airport,HHR
Houlton International Airport,HUL
Vance Air Force Base,END
Point Mugu Naval Air Station (Naval Base Ventura Co),NTD
Edwards Air Force Base,EDW
Lake Charles Regional Airport,LCH
Kona International At Keahole Airport,KOA
Myrtle Beach International Airport,MYR
Lemoore Naval Air Station (Reeves Field) Airport,NLC
Nantucket Memorial Airport,ACK
Felker Army Air Field,FAF
Campbell AAF (Fort Campbell) Air Field,HOP
Ronald Reagan Washington National Airport,DCA
Patuxent River Naval Air Station/Trapnell Field Aiport,NHK
Palacios Municipal Airport,PSX
Arkansas International Airport,BYH
Atlantic City International Airport,ACY
Tinker Air Force Base,TIK
Pueblo Memorial Airport,PUB
Northern Maine Regional Airport at Presque Isle,PQI
Gray Army Air Field,GRF
Kodiak Airport,ADQ
Upolu Airport,UPP
Fort Lauderdale Hollywood International Airport,FLL
Davis Field,MKO
Falls International Airport,INL
Salt Lake City International Airport,SLC
Childress Municipal Airport,CDS
Keesler Air Force Base,BIX
Lawson Army Air Field (Fort Benning),LSF
Marshall Army Air Field,FRI
Harrisburg International Airport,MDT
Lincoln Airport,LNK
Capital City Airport,LAN
Waimea Kohala Airport,MUE
Massena International Richards Field,MSS
Hickory Regional Airport,HKY
Albert Whitted Airport,SPG
Page Field,FMY
George Bush Intercontinental Houston Airport,IAH
Millinocket Municipal Airport,MLT
Andrews Air Force Base,ADW
Smith Reynolds Airport,INT
Southern California Logistics Airport,VCV
Bob Sikes Airport,CEW
Wheeler Sack Army Air Field,GTB
St Clair County International Airport,PHN
Meadows Field,BFL
El Paso International Airport,ELP
Valley International Airport,HRL
Columbia Metropolitan Airport,CAE
Davis Monthan Air Force Base,DMA
Pensacola Naval Air Station/Forrest Sherman Field,NPA
Pensacola Regional Airport,PNS
Grand Forks Air Force Base,RDR
William P Hobby Airport,HOU
Buckley Air Force Base,BKF
Northway Airport,ORT
Palmer Municipal Airport,PAQ
Pittsburgh International Airport,PIT
Wiley Post Will Rogers Memorial Airport,BRW
Ellington Airport,EFD
Whidbey Island Naval Air Station /Ault Field/ Airport,NUW
Alice International Airport,ALI
Moody Air Force Base,VAD
Miami International Airport,MIA
Seattle Tacoma International Airport,SEA
Lovell Field,CHA
Igor I Sikorsky Memorial Airport,BDR
Jackson-Medgar Wiley Evers International Airport,JAN
Scholes International At Galveston Airport,GLS
Long Beach /Daugherty Field/ Airport,LGB
Dillingham Airfield,HDH
Williamsport Regional Airport,IPT
Indianapolis International Airport,IND
Whiteman Air Force Base,SZL
Akron Fulton International Airport,AKC
Greenwood–Leflore Airport,GWO
Westchester County Airport,HPN
Francis S Gabreski Airport,FOK
Jonesboro Municipal Airport,JBR
Tonopah Test Range Airport,\N
Palm Beach County Park Airport,LNA
North Island Naval Air Station-Halsey Field,NZY
Biggs Army Air Field (Fort Bliss),BIF
Yuma MCAS/Yuma International Airport,YUM
Cavern City Air Terminal,CNM
Duluth International Airport,DLH
Bethel Airport,BET
Bowman Field,LOU
Sierra Vista Municipal Libby Army Air Field,FHU
Lihue Airport,LIH
Terre Haute International Hulman Field,HUF
Havre City County Airport,HVR
Grant County International Airport,MWH
Edward F Knapp State Airport,MPV
San Nicolas Island Nolf Airport,\N
Richmond International Airport,RIC
Shreveport Regional Airport,SHV
Merle K (Mudhole) Smith Airport,CDV
Norfolk International Airport,ORF
Southeast Texas Regional Airport,BPT
Savannah Hilton Head International Airport,SAV
Hill Air Force Base,HIF
Nome Airport,OME
Scappoose Industrial Airpark,\N
St Petersburg Clearwater International Airport,PIE
Menominee Marinette Twin County Airport,MNM
Lone Star Executive Airport,CXO
Deadhorse Airport,SCC
San Antonio International Airport,SAT
Greater Rochester International Airport,ROC
Patrick Air Force Base,COF
Teterboro Airport,TEB
Ellsworth Air Force Base,RCA
Raleigh Durham International Airport,RDU
James M Cox Dayton International Airport,DAY
Kenai Municipal Airport,ENA
Mc Alester Regional Airport,MLC
Niagara Falls International Airport,IAG
Coulter Field,CFD
Wright Aaf (Fort Stewart)/Midcoast Regional Airport,\N
Newport News Williamsburg International Airport,PHF
Esler Regional Airport,ESF
Altus Air Force Base,LTS
Tucson International Airport,TUS
Minot Air Force Base,MIB
Beale Air Force Base,BAB
Greater Kankakee Airport,IKK
Seymour Johnson Air Force Base,GSB
Theodore Francis Green State Airport,PVD
Salisbury Ocean City Wicomico Regional Airport,SBY
Rancho Murieta Airport,RIU
Bob Hope Airport,BUR
Detroit Metropolitan Wayne County Airport,DTW
Tampa International Airport,TPA
Pembina Municipal Airport,PMB
Polk Army Air Field,POE
Eielson Air Force Base,EIL
Range Regional Airport,HIB
Angelina County Airport,LFK
Midland International Airport,MAF
Austin Straubel International Airport,GRB
Ardmore Municipal Airport,ADM
Mc Guire Air Force Base,WRI
Cherry Point MCAS /Cunningham Field/,\N
