Airline,Source,Destination
2O,ADQ,KLN
2O,KLN,KYK
3E,BRL,ORD
3E,BRL,STL
3E,DEC,ORD
3E,DEC,STL
3E,JBR,STL
3E,ORD,BRL
3E,ORD,DEC
3E,STL,BRL
3E,STL,DEC
3E,STL,JBR
3F,KTN,MTM
3F,MTM,KTN
3M,ATL,LWB
3M,ATL,MCN
3M,ATL,MEI
3M,ATL,MSL
3M,ATL,PIB
3M,ATL,TUP
3M,EYW,FLL
3M,EYW,RSW
3M,EYW,TPA
3M,FLL,EYW
3M,FLL,MCO
3M,FLL,TPA
3M,GLH,TUP
3M,GNV,MCO
3M,GNV,TPA
3M,JAX,TPA
3M,LWB,ATL
3M,MCN,ATL
3M,MCN,MCO
3M,MCO,FLL
3M,MCO,GNV
3M,MCO,MCN
3M,MCO,PNS
3M,MCO,RSW
3M,MCO,TLH
3M,MEI,ATL
3M,MSL,ATL
3M,PBI,TPA
3M,PIB,ATL
3M,PNS,MCO
3M,PNS,TPA
3M,RSW,EYW
3M,RSW,MCO
3M,TLH,MCO
3M,TLH,TPA
3M,TPA,EYW
3M,TPA,FLL
3M,TPA,GNV
3M,TPA,JAX
3M,TPA,PBI
3M,TPA,PNS
3M,TPA,TLH
3M,TUP,ATL
3M,TUP,GLH
4B,LAS,LAX
4B,LAX,LAS
4E,MCG,NIB
4E,NIB,MCG
4E,TLJ,MCG
4W,AKP,FAI
4W,BTT,AKP
4W,CEM,IRC
4W,CIK,FAI
4W,CIK,FYU
4W,FAI,BTT
4W,FAI,CEM
4W,FAI,CIK
4W,FAI,FYU
4W,FAI,MLY
4W,FAI,WBQ
4W,FYU,CIK
4W,FYU,FAI
4W,IRC,FAI
4W,WBQ,FAI
4Y,BET,EEK
4Y,BET,KPN
4Y,BET,KWN
4Y,BET,KWT
4Y,BET,MLL
4Y,BET,NME
4Y,BET,WNA
4Y,CYF,BET
4Y,EEK,BET
4Y,EEK,KWN
4Y,KKH,KWK
4Y,KPN,CYF
4Y,KWK,BET
4Y,KWN,BET
4Y,KWN,EEK
4Y,NME,OOK
4Y,PKA,BET
4Y,PTU,BET
4Y,WNA,PKA
7H,ABL,OTZ
7H,ABL,SHG
7H,ADQ,ANC
7H,AIN,ATK
7H,AIN,BRW
7H,ANC,ADQ
7H,ANC,ANI
7H,ANC,BET
7H,ANC,CDV
7H,ANC,ENA
7H,ANC,FAI
7H,ANC,HOM
7H,ANC,KSM
7H,ANC,UNK
7H,ANC,VDZ
7H,ANI,ANC
7H,ANI,HCR
7H,ANI,KLG
7H,ANI,RSH
7H,ANI,SHX
7H,ANV,HCR
7H,ATK,AIN
7H,ATK,BRW
7H,AUK,EMK
7H,BET,ANC
7H,BET,CYF
7H,BET,EEK
7H,BET,HPB
7H,BET,KKH
7H,BET,KLG
7H,BET,KUK
7H,BET,KWK
7H,BET,KWN
7H,BET,KWT
7H,BET,MLL
7H,BET,NME
7H,BET,OOK
7H,BET,VAK
7H,BKC,DRG
7H,BKC,OTZ
7H,BRW,AIN
7H,BRW,ATK
7H,BRW,NUI
