dataset,missing_rate,trial,method,ROC-AUC,F1,Accuracy,Log-loss,MCC,n_nodes,n_edges,n_hyperedges,n_test
Epstein emails 2007–2025 (full),0.1,0,Null-Tie,0.5,0.6666666666666666,0.5,0.6931471805599454,0.0,426,543,704,70
Epstein emails 2007–2025 (full),0.1,0,Common Neighbors,0.526734693877551,0.2926829268292683,0.5857142857142857,6.584479454741679,0.30618621784789724,426,543,704,70
Epstein emails 2007–2025 (full),0.1,0,Jaccard,0.43102040816326526,0.04597701149425287,0.40714285714285714,8.316133698670079,-0.28429311094645204,426,543,704,70
Epstein emails 2007–2025 (full),0.1,0,Adamic–Adar,0.5557142857142856,0.2926829268292683,0.5857142857142857,6.581107089979988,0.30618621784789724,426,543,704,70
Epstein emails 2007–2025 (full),0.1,0,Resource Allocation,0.5538775510204081,0.25,0.5714285714285714,6.681741000461268,0.2773500981126146,426,543,704,70
Epstein emails 2007–2025 (full),0.1,0,Preferential Attachment,0.6027551020408163,0.0821917808219178,0.5214285714285715,4.901040211569271,0.14797908710009702,426,543,704,70
Epstein emails 2007–2025 (full),0.1,0,Katz,0.5408163265306122,0.027777777777777776,0.5,6.629562407708913,0.0,426,543,704,70
Epstein emails 2007–2025 (full),0.1,0,Personalized PageRank,0.5179591836734694,0.0821917808219178,0.5214285714285715,4.903202158882433,0.14797908710009702,426,543,704,70
Epstein emails 2007–2025 (full),0.1,0,node2vec,0.386734693877551,0.2619047619047619,0.5571428571428572,1.8001587085225432,0.19047619047619047,426,543,704,70
Epstein emails 2007–2025 (full),0.1,0,Matrix Completion,0.49540816326530607,0.0,0.4928571428571429,3.5215054175469813,-0.08481889296799709,426,543,704,70
Epstein emails 2007–2025 (full),0.1,0,CHESHIRE,0.8904081632653061,0.7090909090909091,0.7714285714285715,1.9973160969976025,0.6008327554319921,426,543,704,70
Epstein emails 2007–2025 (full),0.1,1,Null-Tie,0.5,0.6666666666666666,0.5,0.6931471805599454,0.0,426,543,704,70
Epstein emails 2007–2025 (full),0.1,1,Common Neighbors,0.626938775510204,0.22784810126582278,0.5642857142857143,5.936502659684951,0.26211121699831136,426,543,704,70
Epstein emails 2007–2025 (full),0.1,1,Jaccard,0.5463265306122448,0.0,0.42857142857142855,7.630573207096333,-0.2773500981126146,426,543,704,70
Epstein emails 2007–2025 (full),0.1,1,Adamic–Adar,0.6532653061224489,0.18181818181818182,0.55,5.964509953434548,0.22941573387056177,426,543,704,70
Epstein emails 2007–2025 (full),0.1,1,Resource Allocation,0.6532653061224489,0.18181818181818182,0.55,6.039967198765106,0.22941573387056177,426,543,704,70
Epstein emails 2007–2025 (full),0.1,1,Preferential Attachment,0.601734693877551,0.10810810810810811,0.5285714285714286,4.8772297059067995,0.17149858514250885,426,543,704,70
Epstein emails 2007–2025 (full),0.1,1,Katz,0.6206122448979592,0.0821917808219178,0.5214285714285715,5.7912193921147255,0.14797908710009702,426,543,704,70
Epstein emails 2007–2025 (full),0.1,1,Personalized PageRank,0.604795918367347,0.20512820512820512,0.5571428571428572,4.028637599385412,0.24618298195866545,426,543,704,70
Epstein emails 2007–2025 (full),0.1,1,node2vec,0.38285714285714284,0.05555555555555555,0.5142857142857142,1.7936585892413883,0.1203858530857692,426,543,704,70
Epstein emails 2007–2025 (full),0.1,1,Matrix Completion,0.530204081632653,0.0821917808219178,0.5214285714285715,2.3801633428555817,0.14797908710009702,426,543,704,70
Epstein emails 2007–2025 (full),0.1,1,CHESHIRE,0.9285714285714286,0.7863247863247863,0.8214285714285714,1.1397886335854817,0.6806472756101137,426,543,704,70
Epstein emails 2007–2025 (full),0.1,2,Null-Tie,0.5,0.6666666666666666,0.5,0.6931471805599454,0.0,426,543,704,70
Epstein emails 2007–2025 (full),0.1,2,Common Neighbors,0.5586734693877551,0.25,0.5714285714285714,6.458525405549999,0.2773500981126146,426,543,704,70
Epstein emails 2007–2025 (full),0.1,2,Jaccard,0.47744897959183663,0.02564102564102564,0.45714285714285713,7.4818678404191195,-0.1846372364689991,426,543,704,70
Epstein emails 2007–2025 (full),0.1,2,Adamic–Adar,0.5878571428571427,0.2926829268292683,0.5857142857142857,6.470625418350089,0.30618621784789724,426,543,704,70
Epstein emails 2007–2025 (full),0.1,2,Resource Allocation,0.5876530612244897,0.2926829268292683,0.5857142857142857,6.5314711138052255,0.30618621784789724,426,543,704,70
Epstein emails 2007–2025 (full),0.1,2,Preferential Attachment,0.536734693877551,0.18181818181818182,0.55,5.476975810934359,0.22941573387056177,426,543,704,70
Epstein emails 2007–2025 (full),0.1,2,Katz,0.488265306122449,0.0,0.4857142857142857,6.86391873711735,-0.1203858530857692,426,543,704,70
Epstein emails 2007–2025 (full),0.1,2,Personalized PageRank,0.5123469387755102,0.028169014084507043,0.5071428571428571,5.197140414199454,0.08481889296799709,426,543,704,70
Epstein emails 2007–2025 (full),0.1,2,node2vec,0.36632653061224485,0.028169014084507043,0.5071428571428571,2.1990256955402194,0.08481889296799709,426,543,704,70
