"dataset","mechanism","rho","trial","fit","roc_auc","avg_precision","fit_seconds"
"Epstein emails 2007–2025 (core-100)","MCAR",0.1,1,"MPLE",0.714876033057851,0.644415180778817,0.277
"Epstein emails 2007–2025 (core-100)","MCAR",0.1,2,"MPLE",0.752066115702479,0.752025035039389,0.0509999999999997
"Epstein emails 2007–2025 (core-100)","MCAR",0.1,3,"MPLE",0.508264462809917,0.577752795333009,0.0540000000000003
"Epstein emails 2007–2025 (core-100)","MCAR",0.1,4,"MPLE",0.652892561983471,0.660736485736486,0.0489999999999999
"Epstein emails 2007–2025 (core-100)","MCAR",0.1,5,"MPLE",0.611570247933884,0.589393939393939,0.0470000000000002
"Epstein emails 2007–2025 (core-100)","MCAR",0.1,6,"MPLE",0.648760330578512,0.641497643770371,0.0460000000000003
"Epstein emails 2007–2025 (core-100)","MCAR",0.1,7,"MPLE",0.388429752066116,0.44421693404947,0.0470000000000006
"Epstein emails 2007–2025 (core-100)","MCAR",0.1,8,"MPLE",0.590909090909091,0.626973354224973,0.0470000000000006
"Epstein emails 2007–2025 (core-100)","MCAR",0.1,9,"MPLE",0.458677685950413,0.597118241235888,0.0460000000000003
"Epstein emails 2007–2025 (core-100)","MCAR",0.1,10,"MPLE",0.690082644628099,0.707532997305725,0.0460000000000003
"Epstein emails 2007–2025 (core-100)","MCAR",0.3,1,"MPLE",0.525519031141868,0.604220640509144,0.0459999999999994
"Epstein emails 2007–2025 (core-100)","MCAR",0.3,2,"MPLE",0.516003460207612,0.518151286048017,0.0449999999999999
"Epstein emails 2007–2025 (core-100)","MCAR",0.3,3,"MPLE",0.525519031141868,0.586815756316464,0.048
"Epstein emails 2007–2025 (core-100)","MCAR",0.3,4,"MPLE",0.605536332179931,0.638151252188441,0.0469999999999997
"Epstein emails 2007–2025 (core-100)","MCAR",0.3,5,"MPLE",0.509083044982699,0.575916534547596,0.0449999999999999
"Epstein emails 2007–2025 (core-100)","MCAR",0.3,6,"MPLE",0.673010380622837,0.728512981179587,0.0489999999999995
